"","X1","Player","Year","Draft pick","Height (No Shoes)","Height (With Shoes)","Wingspan","Standing reach","Vertical (Max)","Vertical (Max Reach)","Vertical (No Step)","Vertical (No Step Reach)","Weight","Body Fat","Hand (Length)","Hand (Width)","Bench","Agility","Sprint"
"408",407,"Caleb Swanigan",2016,26,79.5,80.5,87.5,107,29,136,26,133,247,12.6,9,10.25,NA,12.8,NA
"409",408,"Pascal Siakam",2016,27,80.25,81.5,87.25,107.5,36.5,144,30.5,138,227,5.2,9.25,10,NA,11.25,3.41
"410",409,"Skal Labissiere",2016,28,82.5,83.75,86.5,105.5,NA,NA,NA,NA,216,5.7,8.75,9,NA,NA,NA
"411",410,"Jaylen Brown",2016,3,77.25,78.75,83.75,102.5,NA,NA,NA,NA,223,5.1,8.75,9,NA,NA,NA
"412",411,"Damian Jones",2016,30,82.25,83.5,87.75,107,37,144,36,143,244,6.6,8.75,10.5,NA,11.35,3.2
"413",412,"Josh Hart",2016,30,76,77.5,80.5,99.5,38.5,138,29.5,129,204,5.8,8.5,9.25,NA,11.15,3.2
"414",413,"Deyonta Davis",2016,31,81.25,82.5,86.5,108.5,NA,NA,NA,NA,237,9.7,9,9.25,NA,NA,NA
"415",414,"Cheick Diallo",2016,33,79.5,81,88.5,107.5,35,142.5,31,138.5,219,5.6,8.5,9.75,NA,11.24,3.26
"416",415,"Tyler Ulis",2016,34,68.75,70,74,88.5,38,126.5,32.5,121,149,5.2,7.5,7.5,NA,10.8,3.2
"417",416,"Malcolm Brogdon",2016,36,75.75,77.5,82.5,98,35.5,133.5,30.5,128.5,223,5.4,9,10.25,NA,10.77,3.31
"418",417,"Chinanu Onuaku",2016,37,81,82,86.75,108.5,33.5,142,27.5,136,245,8.6,9,8,NA,11.65,3.5
"419",418,"Patrick McCaw",2016,38,77.25,78.75,82,100.5,38,138.5,30,130.5,181,4.7,8.75,8.75,NA,11.01,3.3
"420",419,"Diamond Stone",2016,40,81,82.25,86.75,108.5,29.5,138,27,135.5,254,12.9,8.5,7.75,NA,12.02,3.5
"421",420,"Stephen Zimmerman",2016,41,82.25,83.75,87.25,108.5,31,139.5,26,134.5,234,11.2,9,9,NA,12.08,3.43
"422",421,"Isaiah Whitehead",2016,42,75.25,76.5,80.75,100,35.5,135.5,27.5,127.5,210,9.3,8.5,8.75,NA,11.65,3.34
"423",422,"Zhou Qi",2016,43,85.25,86.25,91.75,112.5,32,144.5,31.5,144,218,4.9,9.25,9.5,NA,11.27,3.46
"424",423,"Demetrius Jackson",2016,45,72,73.25,77.5,93,43.5,136.5,37.5,130.5,194,6.5,8.25,9,NA,10.81,3.25
"425",424,"Jake Layman",2016,47,80,81.25,81.25,102,39.5,141.5,33,135,209,7.1,8.25,9.25,NA,11.35,3.24
"426",425,"Michael Gbinije",2016,49,77.5,78.75,79.5,101,37.5,138.5,33.5,134.5,205,5.4,8,9,NA,11,3.12
"427",426,"Kris Dunn",2016,5,75,76.25,81.5,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"428",427,"Georges Niang",2016,50,78.75,80.5,82,103,31,134,25,128,231,10.1,9.25,9.25,NA,11.64,3.49
"429",428,"Ben Bentil",2016,51,79.25,80.25,85.5,105,33,138,29,134,229,9.7,9.5,10,NA,11.16,3.3
"430",429,"Joel Bolomboy",2016,52,79.5,81,85.75,103.5,40.5,144,37.5,141,224,5.2,9,10.25,NA,10.26,3.17
"431",430,"Kay Felder",2016,54,68.25,69.5,74.5,88.5,44,132.5,35.5,124,177,5.8,8.25,8.5,NA,11.52,3.15
"432",431,"Marcus Paige",2016,55,72.5,73.75,78.25,97,39.5,136.5,33.5,130.5,164,4.3,7.75,8.75,NA,10.82,3.15
"433",432,"Daniel Hamilton",2016,56,78.25,80,81,103.5,29,132.5,26,129.5,197,6,9,8.5,NA,11.48,3.4
"434",433,"Isaiah Cousins",2016,59,75.25,76.5,78.25,98.5,37,135.5,30.5,129,194,4.8,8.25,8.75,NA,10.79,3.24
"435",434,"Jaron Blossomgame",2016,59,78.25,79.25,82,102,41,143,35,137,214,5.3,8.5,10,NA,11.53,3.2
"436",435,"Buddy Hield",2016,6,75.75,77,81.25,101,NA,NA,NA,NA,212,6.1,8.5,9,NA,NA,NA
"437",436,"Marquese Chriss",2016,8,80.75,82,84.25,105,38.5,143.5,32.5,137.5,233,8.5,9,9,NA,11.93,3.26
"438",437,"Jakob Poeltl",2016,9,84.25,85,86.75,111.5,NA,NA,NA,NA,239,5.8,9.25,10.25,NA,NA,NA
"439",438,"A.J. English",2016,NA,74,75,82,98.5,35.5,134,29.5,128,182,5.3,8.75,8.5,NA,12.27,3.28
"440",439,"Cat Barber",2016,NA,73.5,74.75,77.5,95.5,NA,NA,NA,NA,173,4.5,8,8.5,NA,NA,NA
"441",440,"Dedric Lawson",2016,NA,79,80,86.5,106.5,28,134.5,22.5,129,225,11.1,9.5,9.5,NA,12.48,3.65
"442",441,"Dorian Finney-Smith",2016,NA,78.5,79.75,83.75,105.5,35.5,141,32.5,138,213,6.5,9,9.75,NA,11.01,3.27
"443",442,"Elgin Cook",2016,NA,77,78.25,82,100.5,NA,NA,NA,NA,210,6.4,8.5,10.25,NA,NA,NA
"444",443,"Gary Payton II",2016,NA,74,75,80,99.5,38.5,138,31.5,131,184,4,8.75,9.5,NA,11.57,3.23
"445",444,"Isaiah Miles",2016,NA,78.75,79.75,82.5,105,31.5,136.5,24,129,220,9.6,9,9.5,NA,11.76,3.39
"446",445,"Jarrod Uthoff",2016,NA,80.5,81.75,83.5,104,34.5,138.5,29,133,214,6,8.75,9,NA,11.52,3.5
"447",446,"Kyle Wiltjer",2016,NA,80.75,82,84.25,102.5,35.5,138,28.5,131,243,15.3,8.25,9.5,NA,11.35,3.48
"448",447,"Malik Newman",2016,NA,74.25,75.5,77.75,97.5,35.5,133,30,127.5,182,5.6,8.25,9.25,NA,10.88,3.28
"449",448,"Marcus Lee",2016,NA,81,82.25,87,107.5,35.5,143,28.5,136,211,5.4,9,9,NA,11.68,3.25
"450",449,"Melo Trimble",2016,NA,73.25,74.5,74,92.5,35.5,128,26.5,119,192,8.4,8,8.75,NA,10.57,3.2
"451",450,"Nigel Hayes",2016,NA,78.25,79.25,87,107.5,28.5,136,25.5,133,245,10.9,8.5,9.5,NA,12.11,3.2
"452",451,"Perry Ellis",2016,NA,79,80.25,82.25,102,38,140,32,134,218,4.6,8,8.5,NA,10.73,3.13
"453",452,"Robert Carter",2016,NA,78.75,80.5,87.25,106.5,30.5,137,24.5,131,251,12.5,8.75,9.5,NA,11.97,3.65
"454",453,"Ron Baker",2016,NA,75.25,76.25,81.75,97.5,35.5,133,30,127.5,212,7.9,8.75,9.5,NA,10.77,3.45
"455",454,"Sheldon McClellan",2016,NA,77,78.25,79,99.5,41.5,141,35,134.5,198,4.8,8,8,NA,10.45,3.26
"456",455,"Troy Williams",2016,NA,77.75,78.75,80.25,102,36,138,30,132,218,10,8.25,9.25,NA,10.72,3.35
"457",456,"Wayne Selden",2016,NA,76.25,77.75,82.5,101,NA,NA,NA,NA,232,7.3,9,9.25,NA,NA,NA
"458",457,"Zach Collins",2017,10,82.25,84,85,111,NA,NA,NA,NA,232,8.9,8.75,9.25,NA,NA,NA
"459",458,"Luke Kennard",2017,12,76.5,77.5,77.25,98.5,NA,NA,NA,NA,196,6.6,8,8.75,NA,NA,NA
"460",459,"Donovan Mitchell",2017,13,73.25,75,82,97,40.5,137.5,36.5,133.5,211,5.9,8.5,9.5,NA,11.53,3.01
"461",460,"Bam Adebayo",2017,14,80.75,81.75,86.75,108,38.5,146.5,33.5,141.5,243,5.2,9.5,8.75,NA,11.94,3.24
"462",461,"Justin Patton",2017,16,82,83.25,87,111.5,30.5,142,26,137.5,229,7.8,8.75,9.75,NA,11.8,3.46
"463",462,"D.J. Wilson",2017,17,80.75,82.5,87,109.5,NA,NA,NA,NA,234,6.4,9.25,10.25,NA,NA,NA
"464",463,"T.J. Leaf",2017,18,80.75,81.75,83,107,34.5,141.5,29,136,222,6.8,8.5,9.5,NA,11.55,3.27
"465",464,"John Collins",2017,19,80.25,81.5,83.25,106.5,37.5,144,33,139.5,225,5.4,9,10,NA,11.66,3.27
"466",465,"Harry Giles",2017,20,81.25,82.5,87.25,109.5,32.5,142,27,136.5,232,5.2,9.5,10.75,NA,11.08,3.34
"467",466,"Terrance Ferguson",2017,21,77.5,79,80.75,103,38,141,28.5,131.5,184,5.8,8.5,10,NA,11.16,3.32
"468",467,"Jarrett Allen",2017,22,81,82.25,89.25,109.5,35.5,145,31.5,141,234,7.4,9.5,10.5,NA,11.82,3.21
"469",468,"OG Anunoby",2017,23,78.25,79.75,86.25,107.5,NA,NA,NA,NA,232,6.8,9.25,9.5,NA,NA,NA
"470",469,"Tyler Lydon",2017,24,80.25,81.5,84,107.5,33.5,141,29.5,137,215,13.6,8.75,8.75,NA,11.68,3.46
"471",470,"Kyle Kuzma",2017,27,80,81.5,84.25,107.5,34,141.5,27,134.5,223,9.4,8.5,9.5,NA,10.72,3.25
"472",471,"Tony Bradley",2017,28,81.25,82.75,89,112.5,27.5,140,24.5,137,249,12,9.5,9.5,NA,11.79,3.44
"473",472,"Derrick White",2017,29,75.25,76.5,79.5,101.5,36.5,138,35.5,137,190,6.2,8.25,8.5,NA,10.84,3.08
"474",473,"Frank Jackson",2017,31,74,75.5,79.5,98,42,140,35.5,133.5,202,6.7,8.25,9,NA,10.94,3.14
"475",474,"Davon Reed",2017,32,76.5,77.5,84,102,36,138,28.5,130.5,206,6.5,9.25,9.5,NA,11.37,3.34
"476",475,"Wesley Iwundu",2017,33,77.5,78.75,85,105.5,36,141.5,31.5,137,193,4,8.75,9.5,NA,11.25,3.36
"477",476,"Frank Mason",2017,34,71,72,75.25,94,41,135,34,128,189,4.3,8,9.25,NA,11.41,3.18
"478",477,"Ivan Rabb",2017,35,80.75,82,85.5,109,32.5,141.5,28.5,137.5,220,6.8,8.75,9,NA,12.68,3.35
"479",478,"Semi Ojeleye",2017,37,77.25,78.75,81.75,102,40.5,142.5,35,137,241,5.5,8.75,9.5,NA,10.58,3.16
"480",479,"Jordan Bell",2017,38,79,80.5,83.75,104.5,38,142.5,31.5,136,224,5.4,9.25,9.5,NA,10.63,3.21
"481",480,"Jawun Evans",2017,39,70.75,71.5,77.5,95,33.5,128.5,27.5,122.5,185,9.1,8,7.75,NA,11.34,3.21
"482",481,"Dwayne Bacon",2017,40,76.75,78.25,82,103.5,36.5,140,30,133.5,222,7.9,8.75,10,NA,11.7,3.22
"483",482,"Tyler Dorsey",2017,41,75,76.5,77.25,99.5,36,135.5,30.5,130,183,4.7,8.5,9.25,NA,10.55,3.16
"484",483,"Thomas Bryant",2017,42,81.5,82.75,90,112.5,33,145.5,25.5,138,248,9.4,9.5,10.25,NA,11.42,3.37
"485",484,"Damyean Dotson",2017,44,76.5,77.5,81,100,38,138,31.5,131.5,205,5.3,8.5,9.25,NA,11.18,3.13
"486",485,"Dillon Brooks",2017,45,77,78,78,100.5,37.5,138,31,131.5,220,7.5,8.25,9.25,NA,11.14,3.21
"487",486,"Ike Anigbogu",2017,47,80.5,81.75,90.25,110.5,32.5,143,29.5,140,252,5.4,9.5,10,NA,12.52,3.44
"488",487,"Sindarius Thornwell",2017,48,75.5,76.75,82,103,30.5,133.5,27,130,212,7.8,8.75,8.75,NA,11.48,3.36
"489",488,"De'Aaron Fox",2017,5,74,75.25,78.5,100,NA,NA,NA,NA,170,4.5,8.5,8.5,NA,NA,NA
"490",489,"Monte Morris",2017,51,73.25,74.5,76,96.5,33.5,130,28,124.5,175,6.9,8.25,8.75,NA,11,3.19
"491",490,"Edmond Sumner",2017,52,76,77.75,81,102.5,NA,NA,NA,NA,176,8.3,8.25,9,NA,NA,NA
"492",491,"Kadeem Allen",2017,53,73,74.25,81.25,99.5,35.5,135,33,132.5,192,6.4,8.5,8.75,NA,11.24,3.15
"493",492,"Alec Peters",2017,54,79.25,80.75,82.75,105,NA,NA,NA,NA,232,8.8,8.75,10,NA,NA,NA
"494",493,"Nigel Williams-Goss",2017,55,73.5,75,79.25,99,34.5,133.5,27.5,126.5,190,5.6,8.75,9.25,NA,10.42,3.19
"495",494,"Andrew Jones",2017,NA,75,76.25,78.5,99.5,35,134.5,27,126.5,185,4.9,8.5,9,NA,11.38,3.35
"496",495,"Cameron Oliver",2017,NA,79,80.25,85.25,106.5,39.5,146,28,134.5,239,7.7,9.5,10.25,NA,12.17,3.16
"497",496,"Chris Boucher",2017,NA,80,81.5,88,110.5,NA,NA,NA,NA,182,5.4,9.25,10.5,NA,NA,NA
"498",497,"Derrick Walton",2017,NA,71,72.75,74.5,95,32.5,127.5,26,121,189,5.8,8,8.5,NA,11.28,3.29
"499",498,"Devin Robinson",2017,NA,79,80.25,84.75,106,41.5,147.5,35.5,141.5,190,3.2,9.25,10.25,NA,12.85,3.23
"500",499,"Eric Mika",2017,NA,80.5,81.75,82,106.5,32,138.5,29,135.5,233,6.5,8.25,8.75,NA,11.71,3.38
"501",500,"Hamidou Diallo",2017,NA,75.75,77,83.25,101.5,44.5,146,34.5,136,197,5.2,8.5,9.5,NA,10.88,3.11
"502",501,"Isaiah Briscoe",2017,NA,73.25,74.75,81,99.5,33.5,133,28,127.5,222,11,9,9.25,NA,10.95,3.38
"503",502,"Isaiah Hicks",2017,NA,79.25,80.5,84.5,105,37,142,31.5,136.5,233,7.7,8.75,9.75,NA,12.31,3.36
"504",503,"Jamel Artis",2017,NA,77.5,78.75,82,105,31,136,23.5,128.5,213,11.9,9.25,9.75,NA,11.62,3.44
"505",504,"Johnathan Motley",2017,NA,79.75,80.75,88,108,NA,NA,NA,NA,238,NA,9,9.5,NA,NA,NA
"506",505,"Jonathan Jeanne",2017,NA,84.75,86,90.5,113.5,31.5,145,29,142.5,207,8.7,9.5,10,NA,12.61,3.36
"507",506,"Justin Jackson (Canada)",2017,NA,77.75,79,87.25,107,31.5,138.5,26.5,133.5,219,8.1,9,9.5,NA,11.78,3.43
"508",507,"Kennedy Meeks",2017,NA,80.75,82.25,85,106,30.5,136.5,28,134,277,11.5,8.75,8.75,NA,12.91,3.5
"509",508,"Kobi Simmons",2017,NA,75.25,76.5,78,99,38.5,137.5,30.5,129.5,166,5,8.5,9.5,NA,11.15,3.18
"510",509,"Moritz Wagner",2017,NA,82,83.25,84,108,32.5,140.5,25.5,133.5,231,6.7,8.75,10.75,NA,12,3.35
"511",510,"Omer Yurtseven",2017,NA,82.5,83.75,85,108.5,31.5,140,26,134.5,248,7.6,9,10.5,NA,12.85,3.45
"512",511,"P.J. Dozier",2017,NA,77.25,78.75,83,101,39,140,34,135,201,6.1,8.5,9.5,NA,10.84,3.15
"513",512,"Peter Jok",2017,NA,76.25,77.75,80,102,31,133,26.5,128.5,202,11,8.25,9.5,NA,11.34,3.41
"514",513,"Rawle Alkins",2017,NA,74.5,75.75,80.75,99,40.5,139.5,31.5,130.5,223,11,8.75,10,NA,11.99,3.3
"515",514,"Sviatoslav Mykhailiuk",2017,NA,78.5,79.5,77,100,33,133,27,127,220,11.4,8,9.25,NA,12.4,3.53
"516",515,"Thomas Welsh",2017,NA,83.5,84.5,84,109.5,NA,NA,NA,NA,254,10.9,9,10.5,NA,NA,NA
"517",516,"V.J. Beachem",2017,NA,78.25,80,82.25,104.5,37,141.5,30,134.5,193,6.8,8.5,9,NA,11.18,3.26
